Label,Fs1,Fs2,Fs3,Fs4,Fs5,Fs6,Fs7,Fs8,Fs9,Fs10,Fs11,Fs12,Fs13,Fs14,Fs15,Fs16,Fs17,Fs18,Fs19,Fs20,Fs21,Fs22,Fs23,Fs24,Fs25,Fs26,Fs27,Fs28,Fs29,Fs30,Fs31,Fs32
Benign,"[53udp9090SF, 106]","[53udp1560S0, 54]","[18344tcp00RSTOS0, 37]","[10icmp800OTH, 21]","[123udp960S0, 21]","[17576tcp00RSTOS0, 19]","[17832tcp00RSTOS0, 18]","[1icmp800OTH, 14]","[80tcp00RSTO, 13]","[80tcp00RSTRH, 13]","[0icmp800OTH, 10]","[0icmp560OTH, 7]","[13icmp560OTH, 4]","[3icmp800OTH, 4]","[8080tcp00RSTRH, 3]","[1icmp560OTH, 3]","[0icmp1360OTH, 3]","[1icmp880OTH, 2]","[8080tcp00RSTO, 1]","[50628tcp00RSTOS0, 1]","[1icmp1360OTH, 1]",,,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 71]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142381]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142226]","[80tcp00S0, 128027]","[8080tcp00S0, 14225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 98]","[53udp1560S0, 48]","[17576tcp00RSTOS0, 38]","[18344tcp00RSTOS0, 28]","[123udp960S0, 22]","[1icmp800OTH, 14]","[10icmp800OTH, 12]","[0icmp800OTH, 11]","[17832tcp00RSTOS0, 10]","[0icmp560OTH, 10]","[80tcp00RSTRH, 8]","[80tcp00RSTO, 8]","[13icmp560OTH, 7]","[1icmp560OTH, 3]","[0icmp1360OTH, 3]","[53udp780S0, 2]","[53udp156206SF, 2]","[8080tcp00RSTRH, 2]","[17576tcp00REJ, 2]","[18344tcp00REJ, 1]","[3icmp800OTH, 1]","[1icmp880OTH, 1]","[8080tcp00RSTO, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142230]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142221]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142396]","[80tcp00S0, 128033]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 98]","[53udp1560S0, 50]","[17832tcp00RSTOS0, 23]","[10icmp800OTH, 20]","[18344tcp00RSTOS0, 20]","[80tcp00RSTRH, 18]","[17576tcp00RSTOS0, 17]","[123udp960S0, 16]","[0icmp560OTH, 15]","[80tcp00RSTO, 14]","[0icmp800OTH, 13]","[1icmp800OTH, 11]","[1icmp560OTH, 4]","[13icmp560OTH, 4]","[3icmp800OTH, 2]","[80tcp00REJ, 1]","[53udp78206SF, 1]","[53udp780S0, 1]","[0icmp1360OTH, 1]","[8080tcp00RSTRH, 1]","[13icmp840OTH, 1]","[3icmp1600OTH, 1]",,,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142392]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142225]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142070]","[80tcp00S0, 128037]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 84]","[53udp1560S0, 41]","[18344tcp00RSTOS0, 33]","[10icmp800OTH, 29]","[17576tcp00RSTOS0, 24]","[123udp960S0, 23]","[17832tcp00RSTOS0, 22]","[1icmp800OTH, 12]","[0icmp560OTH, 10]","[80tcp00RSTRH, 9]","[80tcp00RSTO, 9]","[0icmp800OTH, 6]","[13icmp560OTH, 5]","[53udp78206SF, 5]","[53udp780S0, 5]","[3icmp800OTH, 4]","[1icmp880OTH, 3]","[1icmp560OTH, 3]","[17576tcp00REJ, 3]","[0icmp1360OTH, 2]","[0icmp880OTH, 1]","[17832tcp00REJ, 1]","[18344tcp00REJ, 1]","[13icmp840OTH, 1]","[0icmp2800OTH, 1]","[13icmp800OTH, 1]",,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142227]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142387]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142395]","[80tcp00S0, 128025]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 58]","[123udp960S0, 35]","[10icmp800OTH, 34]","[18344tcp00RSTOS0, 33]","[53udp1560S0, 29]","[17576tcp00RSTOS0, 23]","[17832tcp00RSTOS0, 20]","[0icmp560OTH, 11]","[80tcp00RSTO, 10]","[53udp78206SF, 8]","[53udp780S0, 8]","[0icmp800OTH, 7]","[0icmp1360OTH, 5]","[1icmp800OTH, 5]","[80tcp00RSTRH, 5]","[13icmp560OTH, 4]","[17576tcp00REJ, 2]","[8080tcp00RSTRH, 2]","[3icmp800OTH, 2]","[0icmp880OTH, 1]","[123udp9696SF, 1]","[123udp1920S0, 1]","[1icmp560OTH, 1]","[0icmp2800OTH, 1]",,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142373]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142228]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142394]","[80tcp00S0, 128175]","[8080tcp00S0, 14238]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 74]","[53udp1560S0, 37]","[18344tcp00RSTOS0, 32]","[123udp960S0, 31]","[10icmp800OTH, 23]","[17576tcp00RSTOS0, 20]","[17832tcp00RSTOS0, 19]","[1icmp800OTH, 16]","[80tcp00RSTRH, 13]","[80tcp00RSTO, 13]","[0icmp560OTH, 11]","[0icmp800OTH, 8]","[53udp78206SF, 5]","[53udp780S0, 4]","[13icmp560OTH, 4]","[0icmp1360OTH, 3]","[8080tcp00RSTRH, 3]","[1icmp880OTH, 3]","[3icmp800OTH, 3]","[17576tcp00REJ, 3]","[1icmp560OTH, 2]","[0icmp1120OTH, 1]","[13icmp800OTH, 1]","[53udp78302SF, 1]","[17832tcp00REJ, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 72]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142390]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142235]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142079]","[80tcp00S0, 128035]","[8080tcp00S0, 14223]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 88]","[53udp1560S0, 45]","[17576tcp00RSTOS0, 27]","[18344tcp00RSTOS0, 26]","[80tcp00RSTRH, 21]","[123udp960S0, 17]","[10icmp800OTH, 16]","[1icmp800OTH, 12]","[80tcp00RSTO, 11]","[0icmp560OTH, 10]","[17832tcp00RSTOS0, 8]","[13icmp560OTH, 5]","[0icmp800OTH, 5]","[1icmp560OTH, 3]","[8080tcp00RSTRH, 2]","[3icmp800OTH, 2]","[53udp780S0, 2]","[0icmp1360OTH, 2]","[13icmp800OTH, 2]","[17576tcp00REJ, 1]","[53udp156206SF, 1]","[53udp78206SF, 1]","[1icmp1360OTH, 1]",,,,,,,,,
C&C-HeartBeat,"[666tcp00S0, 71]","[666tcp00REJ, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 142386]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 142230]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 142395]","[80tcp00S0, 128030]","[8080tcp00S0, 14224]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benign,"[53udp9090SF, 84]","[53udp1560S0, 42]","[17576tcp00RSTOS0, 27]","[10icmp800OTH, 25]","[18344tcp00RSTOS0, 24]","[17832tcp00RSTOS0, 23]","[123udp960S0, 18]","[80tcp00RSTO, 10]","[80tcp00RSTRH, 10]","[0icmp560OTH, 9]","[1icmp800OTH, 8]","[0icmp800OTH, 6]","[13icmp560OTH, 4]","[53udp780S0, 2]","[0icmp1360OTH, 2]","[53udp78206SF, 2]","[17832tcp00REJ, 2]","[0icmp880OTH, 1]","[8080tcp00RSTRH, 1]","[3icmp800OTH, 1]","[13icmp840OTH, 1]","[0icmp2800OTH, 1]","[17576tcp00REJ, 1]","[13icmp800OTH, 1]","[51384tcp00RSTOS0, 1]",,,,,,,
C&C-HeartBeat,"[666tcp00S0, 62]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDoS,"[52869tcp00S0, 125109]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okiru,"[37215tcp00S0, 125109]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PortScan,"[8081tcp00S0, 125269]","[80tcp00S0, 112769]","[8080tcp00S0, 12527]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
